"Year of initiation","Short case name","Applicable IIA","Arbitral rules","Administering institution","Summary","Details of investment","Outcome of original proceedings","Respondent State","hDIResp","Home State of investor","hDIClaim","Economic sector","Economic subsector","Arbitrators","amountClaimed","amountAwarded","Breaches alleged","Breaches found","Decisions","Individual opinions","Follow-on proceeding type","Follow-on proceeding status","Follow-on decisions","Follow-on individual opinions","ICSID annulment committee members","aPresidentC","aRespondentC","aClaimantC","damagesRatio"
2011,"Longreef v. Venezuela","Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","ICSID","ICSID","Investment: Shareholding in a Venezuelan coffee production company.                        Summary: Claims arising out of the Government's nationalization of CompaÃƒâ€¡ÃƒÂ±ia AnÃƒâ€¡ÃƒÂ¼nima CafÃƒâ€¡Ã‚Â¸ Fama de AmÃƒâ€¡Ã‚Â¸rica, a 120-year old coffee company in which the claimant had invested.","Shareholding in a Venezuelan coffee production company.","Decided in favour of investor","Venezuela (Bolivarian Republic of)",0.761,"Netherlands",0.931,"Secondary: C - Manufacturing","10 - Manufacture of food products","Edward, D. A. O. - PresidentGÃƒâ€¡ÃƒÂ¼mez-PinzÃƒâ€¡ÃƒÂ¼n, E. - ClaimantMourre, A. - Respondent (replaced)Malintoppi, L. - Respondent",500,43,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 12 February 2014Award dated 6 November 2017","None","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Pawlak, D. - PresidentArgueta Pinto, M. - MemberBulnes Serrano, F. - Member","Edward, D. A. O.","Malintoppi, L.","GÃƒâ€¡ÃƒÂ¼mez-PinzÃƒâ€¡ÃƒÂ¼n, E.","0.086"
1999,"Pope & Talbot v. Canada","NAFTA (1992)","UNCITRAL","None","Investment: Ownership of local subsidiary for the operation of three sawmills in Canada and export of softwood lumber produced.                        Summary: Claims arising out of Canada's implementation of the U.S.-Canada Softwood Lumber Agreement, in which Canada agreed to charge a fee on exports of softwood lumber in excess of a certain number of board feet.","Ownership of local subsidiary for the operation of three sawmills in Canada and export of softwood lumber produced.","Decided in favour of investor","Canada",0.926,"United States",0.924,"Primary: A - Agriculture, forestry and fishing","2 - Forestry and logging","Dervaird, L. - PresidentGreenberg, B. J. - UnknownBelman, M. J. - Unknown",507.5,0.46,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentPerformance requirements","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Interim Award dated 26 June 2000Award on the Merits of Phase 2 dated 10 April 2001Award in Respect of Damages dated 31 May 2002Award in Respect of Costs dated 26 November 2002","None","None","None","None","None","None","Dervaird, L.",NA,NA,"0.0009064039408867"
2013,"RREEF v. Spain","The Energy Charter Treaty (1994)","ICSID","ICSID","Investment: Shareholding in two solar power plants located in AndalucÃƒâ€¡ÃƒÂ°a, Spain.                        Summary: Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generatorsÃ†â€™?? revenues and a reduction in subsidies for renewable energy producers.","Shareholding in two solar power plants located in AndalucÃƒâ€¡ÃƒÂ°a, Spain.","Decided in favour of investor","Spain",0.891,"Luxembourg",0.904,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Pellet, A. - PresidentVolterra, R. - ClaimantNikken, P. - Respondent",512.3,1e-05,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 6 June 2016Decision on Responsibility and on the Principles of Quantum dated 30 November 2018","Partially Dissenting Opinion of Robert Volterra","None","None","None","None","None","Pellet, A.","Nikken, P.","Volterra, R.","1.95198126097989e-08"
2004,"Mobil v. Argentina","Argentina - United States of America BIT (1991)","ICSID","ICSID","Investment: Rights under gas production concessions in Argentina.                        Summary: Claims arising out of measures taken by Argentina in response to its 2001-2002 economic crisis that allegedly affected the claimants' investment.","Rights under gas production concessions in Argentina.","Decided in favour of investor","Argentina",0.825,"United States",0.924,"Primary: B - Mining and quarrying","6 - Extraction of crude petroleum and natural gas","Moller, G. - PresidentBernardini, P. - ClaimantRemiro BrotÃƒâ€¡ÃƒÂ¼ns, A. - Respondent",513.5,196.2,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause","Decision on Jurisdiction and Liability dated 10 April 2013Award dated 25 February 2016","Separate Opinion of Antonio Remiro BrotÃƒâ€¡ÃƒÂ¼ns (Decision on Jurisdiction and Liability)Dissenting Opinion of Antonio Remiro BrotÃƒâ€¡ÃƒÂ¼ns","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Annulment dated 8 May 2019 (ICSID annulment proceedings)","None","Hascher, D. - PresidentMourre, A. - Membervan Houtte, H. - Member","Moller, G.","Remiro BrotÃƒâ€¡ÃƒÂ¼ns, A.","Bernardini, P.","0.382083739045764"
1998,"Pey Casado and Allende Foundation v. Chile","Chile - Spain BIT (1991)","ICSID","ICSID","Investment: Majority shareholding in a Chilean newspaper.                        Summary: Claims arising out of the confiscation and eventual expropriation in the 1970s of the newspaper El ClarÃƒâ€¡ÃƒÂ°n, of which Victor Pey Casado and the President Allende Foundation claimed ownership.","Majority shareholding in a Chilean newspaper.","Decided in favour of investor","Chile",0.843,"Spain",0.891,"Tertiary: J - Information and communication","58 - Publishing activities","Lalive, P. - PresidentRezek, F. - President (replaced)Chemloul, M. - ClaimantBedjaoui, M. - Claimant (replaced)Gaillard, E. - RespondentLeoro Franco, G. - Respondent (replaced)Witker VelÃƒâ€¡Ã‚Â­squez, J. - Respondent (replaced)",515,10,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsOther","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 8 May 2002Award dated 8 May 2008","None","Judicial review by national courtsICSID annulment proceedingsICSID resubmission proceedings","Award/decision upheld (Judicial review by national courts)Award/decision partially annulled (ICSID annulment proceedings)Neither investor nor the State (liability found but no damages awarded) (ICSID resubmission proceedings)","Resolution of Spanish Court of First Instance dated 6 March 2013 (Judicial review by national courts)Decision of Spanish Court on Execution of Award dated 4 July 2013 (Judicial review by national courts)Decision on the Application for Annulment of the Republic of Chile dated 18 December 2012 (ICSID annulment proceedings)Decision on Admissibility of the Application for Annulment dated 4 May 2010 (ICSID annulment proceedings)Decision on Chile's Request for a Stay of Enforcement of the Unannulled Portion of the Award dated 16 May 2013 (ICSID annulment proceedings)Decision on the Republic of Chile's Request for Supplementation of the Annulment Decision dated 11 September 2013 (ICSID annulment proceedings)Award dated 13 September 2016 (ICSID resubmission proceedings)","None","None","Lalive, P.","Bedjaoui, M. - 999Gaillard, E.","Rezek, F. - 999Chemloul, M.","0.0194174757281553"
2013,"Windstream Energy v. Canada","NAFTA (1992)","UNCITRAL","PCA","Investment: Ownership of WWIS (100 per cent shareholding), a Canadian corporation that had entered into a power purchase agreement under the Ontario Power AuthorityÃ†â€™??s feed-in-tariff program to develop an offshore wind generation facility in Ontario.                        Summary: Claims arising out of a moratorium imposed by the Government of Ontario on offshore wind farms that indefinitely suspended claimant's investment project in this sector.","Ownership of WWIS (100 per cent shareholding), a Canadian corporation that had entered into a power purchase agreement under the Ontario Power AuthorityÃ†â€™??s feed-in-tariff program to develop an offshore wind generation facility in Ontario.","Decided in favour of investor","Canada",0.926,"United States",0.924,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Heiskanen, V. - PresidentBishop, D. - ClaimantCremades, B. M. - Respondent",522.1,19.1,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentMost-favoured nation treatment","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 27 September 2016","None","None","None","None","None","None","Heiskanen, V.","Cremades, B. M.","Bishop, D.","0.0365830300708676"
2014,"Bear Creek Mining v. Peru","Canada-Peru FTA","ICSID","ICSID","Investment: Rights under a concession agreement concluded with the claimant to operate the Santa Ana silver mining site in Peru.                        Summary: Claims arising out of the enactment by the Government of Supreme Decree 032 that revoked claimant's concession to operate the Santa Ana mining project in Peru on the ground that it was no longer in the national interest, resulting in a complete cease of activities at Santa Ana and alleged significant damages to the claimant.","Rights under a concession agreement concluded with the claimant to operate the Santa Ana silver mining site in Peru.","Decided in favour of investor","Peru",0.75,"Canada",0.926,"Primary: B - Mining and quarrying","7 - Mining of metal ores","BÃƒâ€¡ÃƒÂ´ckstiegel, K.-H. - PresidentPryles, M. C. - ClaimantSands, P. - Respondent",522.2,18.2,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measures","Indirect expropriation","Award dated 30 November 2017","Partial Dissenting Opinion by Philippe Sands","None","None","None","None","None","BÃƒâ€¡ÃƒÂ´ckstiegel, K.-H.","Sands, P.","Pryles, M. C.","0.0348525469168901"
2001,"Enron v. Argentina","Argentina - United States of America BIT (1991)","ICSID","ICSID","Investment: Equity and capital contributions in a gas transportation company; contractual rights under technical assistance agreement and operation license.                        Summary: Claims arising out of certain tax assessments allegedly imposed by Argentinean provinces in respect to a gas transportation company in which the claimants participated through investments in various corporate arrangements, as well as the Government's alleged refusal to allow tariff adjustments in accordance with the US Producer Price Index.","Equity and capital contributions in a gas transportation company; contractual rights under technical assistance agreement and operation license.","Decided in favour of investor","Argentina",0.825,"United States",0.924,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Orrego VicuÃƒâ€¡ÃƒÂ±a, F. - PresidentTschanz, P.-Y. - Claimantvan den Berg, A. J. - RespondentGros Espiell, H. - Respondent (replaced)",582,106.2,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause","Decision on Jurisdiction dated 14 January 2004Decision on Jurisdiction on ancillary claim dated 2 August 2004Award dated 22 May 2007","None","ICSID annulment proceedingsICSID resubmission proceedings","Award/decision partially annulled (ICSID annulment proceedings)Settled (ICSID resubmission proceedings)","Decision on the Application for Annulment of the Argentine Republic dated 30 July 2010 (ICSID annulment proceedings)Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) dated 19 July 2018 (ICSID resubmission proceedings)","None","Griffith, G. - PresidentRobinson, P. L. - MemberTresselt, P. - Member","Orrego VicuÃƒâ€¡ÃƒÂ±a, F.","van den Berg, A. J.","Tschanz, P.-Y.","0.182474226804124"
2014,"NextEra v. Spain","The Energy Charter Treaty (1994)","ICSID","ICSID","Investment: Construction and operation of two thermosolar plants in Extremadura, Spain.                        Summary: Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generatorsÃ†â€™?? revenues and a reduction in subsidies for renewable energy producers.","Construction and operation of two thermosolar plants in Extremadura, Spain.","Decided in favour of investor","Spain",0.891,"Netherlands",0.931,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","McRae, D. M. - PresidentFortier, L. Y. - ClaimantBoisson de Chazournes, L. - Respondent",586,323.6,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsMost-favoured nation treatmentArbitrary, unreasonable and/or discriminatory measuresUmbrella clause","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction, Liability and Quantum Principles dated 12 March 2019Award dated 31 May 2019","None","None","None","None","None","None","McRae, D. M.","Boisson de Chazournes, L.","Fortier, L. Y.","0.55221843003413"
2006,"Chevron and TexPet v. Ecuador (I)","Ecuador - United States of America BIT (1993)","UNCITRAL","PCA","Investment: Oil exploration and production rights in EcuadorÃ†â€™??s Amazon region through concession contracts concluded with the Government.                        Summary: Claims arising out of seven breach-of-contract cases filed by Texaco against the Ecuadorian Government in local courts and the alleged egregious delay of all Texaco claims by the Ecuadorian judiciary.","Oil exploration and production rights in EcuadorÃ†â€™??s Amazon region through concession contracts concluded with the Government.","Decided in favour of investor","Ecuador",0.752,"United States",0.924,"Primary: B - Mining and quarrying","6 - Extraction of crude petroleum and natural gas","BÃƒâ€¡ÃƒÂ´ckstiegel, K.-H. - PresidentBrower, C. N. - Claimantvan den Berg, A. J. - Respondent",649,77.7,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measuresOther","Other","Interim Award dated 1 December 2008Partial Award on the Merits dated 30 March 2010Final Award dated 31 August 2011","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Judgment of the District Court of the Hague dated 2 May 2012 (Judicial review by national courts)DC Court's Rejection of Ecuador's Challenge to the Final Award dated 6 June 2013 (Judicial review by national courts)Decision of the Dutch Supreme Court to Uphold Award dated 26 September 2014 (Judicial review by national courts)","None","None","BÃƒâ€¡ÃƒÂ´ckstiegel, K.-H.","van den Berg, A. J.","Brower, C. N.","0.119722650231125"
2011,"Koch Minerals v. Venezuela","Switzerland - Venezuela, Bolivarian Republic of BIT (1993)","ICSID","ICSID","Investment: Minority shareholding in a Venezuelan fertilizer company.                        Summary: Claims arising out of the Government's nationalization of Koch MineralÃ†â€™??s interest in Fertilizantes Nitrogenados de Venezuela (FertiNitro), a nitrogen-based fertilizer producer, Koch Nitrogen's alleged loss of rights under an associated long-term agreement for the purchase of ammonia and urea produced at the Fertinitro plant, and certain laws and regulations in effect prior to the nationalization.","Minority shareholding in a Venezuelan fertilizer company.","Decided in favour of investor","Venezuela (Bolivarian Republic of)",0.761,"Switzerland",0.944,"Secondary: C - Manufacturing","20 - Manufacture of chemicals and chemical products","Veeder, V. V. - PresidentLalonde, M. - ClaimantFeliciano, F. P. - Respondent (replaced)Douglas, Z. - Respondent",672.4,325.1,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measuresNational treatmentUmbrella clauseIndirect expropriation","Indirect expropriation","Award dated 30 October 2017","Partially Dissenting Opinion of Zachary Douglas","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Hascher, D. - PresidentArgueta Pinto, M. - MemberHanefeld, I. - Member","Veeder, V. V.","Douglas, Z.","Lalonde, M.","0.483491969066032"
2016,"Oschadbank v. Russia","Russian Federation - Ukraine BIT (1998)","UNCITRAL","PCA","Investment: Ownership of a bank branch in Crimea.                        Summary: Claims arising out of alleged seizure of a branch of Oschadbank in Crimea following the annexation of this territory by the Russian Federation in 2014.","Ownership of a bank branch in Crimea.","Decided in favour of investor","Russian Federation",0.816,"Ukraine",0.751,"Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","Williams, D. A. R. - PresidentBrower, C. N. - ClaimantPerezcano Diaz, H. - Respondent",680,1111.3,"Direct expropriation","Direct expropriation","Award dated 26 November 2018","None","None","None","None","None","None","Williams, D. A. R.","Perezcano Diaz, H.","Brower, C. N.","1.63426470588235"
2001,"Azurix v. Argentina (I)","Argentina - United States of America BIT (1991)","ICSID","ICSID","Investment: Indirect controlling interest in local subsidiary that had a concession agreement for water distribution and sewerage treatment services.                        Summary: Claims arising out of Argentina's alleged interference with the tariff regime applicable to claimant's investment, as well as other alleged breaches of obligations under a water concession agreement.","Indirect controlling interest in local subsidiary that had a concession agreement for water distribution and sewerage treatment services.","Decided in favour of investor","Argentina",0.825,"United States",0.924,"Tertiary: E - Water supply; sewerage, waste management and remediation activitiesTertiary: E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply37 - Sewerage","Rigo Sureda, A. - PresidentLalonde, M. - ClaimantMartins, D. H. - Respondent",685,165.2,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measures","Decision on Jurisdiction dated 8 December 2003Award issued on 14 July 2006 dated 14 July 2006","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on the Application for Annulment of the Argentine Republic dated 1 September 2009 (ICSID annulment proceedings)","None","Griffith, G. - PresidentAjibola, B. - MemberHwang, M. - Member","Rigo Sureda, A.","Martins, D. H.","Lalonde, M.","0.241167883211679"
2015,"Hydro and others v. Albania","Albania - Italy BIT (1991)","ICSID","ICSID","Investment: Investments in a hydroelectric plant in KalivaÃƒâ€¡ÃƒÂµ in southern Albania, a waste management facility, and the TV station Agonset.                        Summary: Claims arising out of the GovernmentÃ†â€™??s alleged actions to undermine the claimantsÃ†â€™?? investments, including tax audit proceedings, money laundering investigations, seizure and sequestration of bank accounts and assets, and arrest warrants against individual claimants.","Investments in a hydroelectric plant in KalivaÃƒâ€¡ÃƒÂµ in southern Albania, a waste management facility, and the TV station Agonset.","Decided in favour of investor","Albania",0.785,"Italy",0.88,"Tertiary: D - Electricity, gas, steam and air conditioning supplyTertiary: E - Water supply; sewerage, waste management and remediation activitiesTertiary: J - Information and communication","35 - Electricity, gas, steam and air conditioning supply36 - Water collection, treatment and supply60 - Programming and broadcasting activities","Glick, I. - RespondentPryles, M. C. - PresidentPoncet, C. - Claimant",728.4,123.6,"Direct expropriation","Direct expropriation","Award dated 24 April 2019","None","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","None","Pryles, M. C.","Glick, I.","Poncet, C.","0.169686985172982"
2005,"Micula v. Romania (I)","Romania - Sweden BIT (2002)","ICSID","ICSID","Investment: Contributions of over EUR 200 million through the purchase or importation of machinery, raw materials, lands, buildings, equipment and means of transportation for food production facilities in disfavored regions of Romania.                        Summary: Claims arising out of the Government's introduction of a series of investment incentives for the development of certain disfavoured regions of Romania and from the subsequent partial withdrawal or amendment of those incentives, in the context of Romania's accession to the European Union.","Contributions of over EUR 200 million through the purchase or importation of machinery, raw materials, lands, buildings, equipment and means of transportation for food production facilities in disfavored regions of Romania.","Decided in favour of investor","Romania",0.811,"Sweden",0.933,"Secondary: C - Manufacturing","10 - Manufacture of food products","LÃƒâ€¡Ã‚Â¸vy, L. - PresidentAlexandrov, S. A. - ClaimantAbi-Saab, G. - RespondentEhlermann, C.-D. - Respondent (replaced)",832.9,116.2,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction and Admissibility dated 24 September 2008Final Award dated 11 December 2013","Separate Opinion of Professor Georges Abi-Saab (Decision on Jurisdiction and Admissibility)","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Annulment dated 26 February 2016 (ICSID annulment proceedings)","None","von Wobeser, C. - PresidentCremades, B. M. - MemberYusuf, A. A. - Member","LÃƒâ€¡Ã‚Â¸vy, L.","Abi-Saab, G.","Alexandrov, S. A.","0.139512546524193"
2003,"Suez and Vivendi v. Argentina (II)","Argentina - France BIT (1991)Argentina - Spain BIT (1991)","ICSID","ICSID","Investment: Shareholding in local company that had a concession for water distribution and waste water treatment services in the city of Buenos Aires and some surrounding municipalities.                        Summary: Claims arising out of a series of alleged acts and omissions by Argentina, including its alleged failure or refusal to apply previously agreed adjustments to the tariff calculation and adjustment mechanisms affecting claimants' investment.","Shareholding in local company that had a concession for water distribution and waste water treatment services in the city of Buenos Aires and some surrounding municipalities.","Decided in favour of investor","Argentina",0.825,"France",0.901,"Tertiary: E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply","Salacuse, J. W. - PresidentKaufmann-Kohler, G. - ClaimantNikken, P. - Respondent",834.1,383.6,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Liability dated 30 July 2010Decision on Jurisdiction dated 3 August 2006Award dated 9 April 2015","Separate Opinion of Arbitrator Pedro Nikken (Decision on Liability)","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on ArgentinaÃ†â€™??s Application for Annulment dated 5 May 2017 (ICSID annulment proceedings)","None","Sachs, K. - PresidentCarmichael, T. A. - MemberOreamuno Blanco, R. - Member","Salacuse, J. W.","Nikken, P.","Kaufmann-Kohler, G.","0.459896894856732"
2011,"OIEG v. Venezuela","Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","ICSID","ICSID","Investment: Interests in two industrial plants for production and distribution of glass containers, held indirectly through two locally-incorporated companies.                        Summary: Claims arising out of disagreements between the parties over the amount of compensation owed by the Government for the nationalization of two expropriated glass manufacturing plants in which the claimant had invested.","Interests in two industrial plants for production and distribution of glass containers, held indirectly through two locally-incorporated companies.","Decided in favour of investor","Venezuela (Bolivarian Republic of)",0.761,"Netherlands",0.931,"Secondary: C - Manufacturing","23 - Manufacture of other non-metallic mineral products","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J. - PresidentOrrego VicuÃƒâ€¡ÃƒÂ±a, F. - ClaimantMourre, A. - Respondent",929.5,372.4,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseTransfer of fundsArbitrary, unreasonable and/or discriminatory measures","Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause","Award dated 10 March 2015","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Application for Annulment dated 6 December 2018 (ICSID annulment proceedings)","None","Castellanos Howell, A. R. - PresidentBernardini, P. - MemberPawlak, D. - Member","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J.","Mourre, A.","Orrego VicuÃƒâ€¡ÃƒÂ±a, F.","0.400645508337816"
2004,"Total v. Argentina","Argentina - France BIT (1991)","ICSID","ICSID","Investment: Majority and minority shareholding interests in companies operating in the gas transportation, exploration and production and power generation sectors, as well as various related licences, rights, concessions and loans.                        Summary: Claims arising out of a series of decrees and resolutions taken by Argentina in the course of an economic crisis (including restrictions on transfers, rescheduling of cash deposits and pesification of US dollar deposits) that allegedly affected the claimant's investment.","Majority and minority shareholding interests in companies operating in the gas transportation, exploration and production and power generation sectors, as well as various related licences, rights, concessions and loans.","Decided in favour of investor","Argentina",0.825,"France",0.901,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Sacerdoti, G. - PresidentÃƒâ€¡Ã‚Âlvarez, H. C. - ClaimantHerrera Marcano, L. - Respondent",940,269.9,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Liability dated 27 December 2010Decision on Objections to Jurisdiction dated 25 August 2006Award dated 27 November 2013","Dissenting Opinion of Henri Ãƒâ€¡Ã‚Âlvarez (Decision on Liability)Concurring Opinion of Luis Herrera Marcano (Decision on Liability)Dissenting Opinion of Henri Ãƒâ€¡Ã‚ÂlvarezDissenting Opinion of Luis Herrera Marcano","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Annulment dated 1 February 2016 (ICSID annulment proceedings)","None","Zuleta, E. - PresidentCastellanos Howell, A. R. - MemberCheng, T. - Member","Sacerdoti, G.","Herrera Marcano, L.","Ãƒâ€¡Ã‚Âlvarez, H. C.","0.287127659574468"
2002,"France Telecom v. Lebanon","France - Lebanon BIT (1996)","UNCITRAL","None","Investment: Rights under a contract to operate a GSM mobile telephone network.                        Summary: Claims arising out of the Government's termination of a contract entered into with the investor to implement cellular GSM services in Lebanon.","Rights under a contract to operate a GSM mobile telephone network.","Decided in favour of investor","Lebanon",0.757,"France",0.901,"Tertiary: J - Information and communication","61 - Telecommunications","Audit, B. - PresidentLalonde, M. - UnknownAkl, A. - Unknown",952,266,"Data not available","Data not available","Award dated 22 February 2005","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Swiss Federal Tribunal, Recours de droit public contre la sentence du Tribunal arbitral du 7 avril 2005, 4P.154/2005/sYC, dated 10 November 2005 (Judicial review by national courts)","None","None","Audit, B.",NA,NA,"0.279411764705882"
2006,"Occidental v. Ecuador (II)","Ecuador - United States of America BIT (1993)","ICSID","ICSID","Investment: Participation contract for the exploration and exploitation of hydrocarbons.                        Summary: Claims arising out of the termination (caducidad) of a 1999 participation contract between Occidental Exploration and Production Company and PetroEcuador for the exploration and exploitation of hydrocarbons in Block 15 of the Ecuadorian Amazon region.","Participation contract for the exploration and exploitation of hydrocarbons.","Decided in favour of investor","Ecuador",0.752,"United States",0.924,"Primary: B - Mining and quarrying","6 - Extraction of crude petroleum and natural gas","Fortier, L. Y. - PresidentWilliams, D. A. R. - ClaimantStern, B. - Respondent",1000,1769,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 9 September 2008Award dated 5 October 2012","Dissenting Opinion of Professor Brigitte Stern (Decision on Jurisdiction)Dissenting Opinion of Professor Brigitte Stern (Award)","ICSID annulment proceedings","Award/decision partially annulled (ICSID annulment proceedings)","Decision on Annulment of the Award dated 2 November 2015 (ICSID annulment proceedings)","None","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J. - PresidentFeliciano, F. P. - MemberOreamuno Blanco, R. - Member","Fortier, L. Y.","Stern, B.","Williams, D. A. R.","1.769"
1997,"CSOB. v. Slovakia","Czech Republic - Slovakia BIT (1992)","ICSID","ICSID","Investment: Rights under certain consolidation agreement concluded among the Czech Republic, Slovakia and CSOB concerning the claimant's financial restructuring.                        Summary: Claims arising out of the alleged breach of a financial consolidation agreement concluded among the Czech Republic, the Slovak Republic and CSOB in relation to the bankÃ†â€™??s financial restructuring in advance of its then planned privatization","Rights under certain consolidation agreement concluded among the Czech Republic, Slovakia and CSOB concerning the claimant's financial restructuring.","Decided in favour of investor","Slovakia",0.855,"Czechia",0.888,"Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","van Houtte, H. - PresidentBuergenthal, T. - President (replaced)Bucher, A. - ClaimantBernardini, P. - Respondent",1132,867.8,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Decision of the Tribunal on Objections to Jurisdiction dated 24 May 1999Decision of the Tribunal on RespondentÃ†â€™??s Further and Partial Objection to Jurisdiction dated 1 December 2000Award dated 29 December 2004","None","None","None","None","None","None","van Houtte, H.","Bernardini, P.","Bucher, A.","0.76660777385159"
2014,"Trinh and Bin Chau v. Viet Nam (II)","Netherlands - Viet Nam BIT (1994)","UNCITRAL","PCA","Investment:                         Summary:","","Decided in favour of investor","Viet Nam",0.694,"Netherlands",0.931,"Data not available","Data not available","Name not available - PresidentName not available - ClaimantName not available - Respondent",1250,37.5,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 10 April 2019","None","None","None","None","None","None","Name not available","Name not available","Name not available","0.03"
